SensoriaRawDataFormat: 4.0
FirmwareRevision: 1.1.5.232D
DeviceName: Sensoria-C1-149B
SerialNumber: 994AF16EC5C9AA6E
Location: 0x0000
Start: 2024-02-27T10:51:48-08:00
SamplingFrequency: 50
AfeName: N/A
AfeUnits: N/A
(null)
(null)
(null)
(null)
(null)
(null)
(null)
(null)

Tag,AutoTag,Tick,T,S0,S1,S2,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,HRM,S3,S4,S5,S6,S7,CS0,CS1,CS2,CS3,CS4,CS5,CS6,CS7,RSSI,Timestamp,Zero
,,455,620,335,222,210,0.018066,0.027832,0.999023,0.070000,-3.220000,-1.540000,-0.642108,-0.197100,-1.263192,,178,155,138,124,902,,,,,,,,,-39,10:51:49.072,
,,456,640,336,224,209,0.017578,0.027832,0.998535,-0.070000,-3.220000,-1.400000,-0.639918,-0.194618,-1.255016,,176,156,137,123,903,,,,,,,,,-39,10:51:49.082,
,,457,660,335,223,209,0.019043,0.028320,0.997070,0.000000,-3.220000,-1.540000,-0.639918,-0.196662,-1.258082,,177,157,137,124,902,,,,,,,,,-39,10:51:49.102,
,,458,680,335,223,208,0.020996,0.026855,0.996094,0.000000,-3.080000,-1.470000,-0.629990,-0.196662,-1.258082,,177,156,138,124,902,,,,,,,,,-39,10:51:49.131,
,,459,700,336,223,208,0.020508,0.029785,0.996094,0.000000,-3.150000,-1.400000,-0.636414,-0.194326,-1.259688,,175,156,137,123,901,,,,,,,,,-39,10:51:49.193,
,,460,720,335,225,210,0.019043,0.028320,0.997559,0.070000,-3.220000,-1.470000,-0.635392,-0.193596,-1.265236,,174,154,136,122,901,,,,,,,,,-39,10:51:49.194,
,,461,740,335,223,209,0.021973,0.026367,1.000488,0.000000,-3.080000,-1.540000,-0.634954,-0.195202,-1.257352,,178,155,137,123,903,,,,,,,,,-39,10:51:49.195,
,,462,760,336,224,210,0.020996,0.026367,0.996094,0.000000,-3.150000,-1.400000,-0.636122,-0.197830,-1.244942,,177,156,138,123,902,,,,,,,,,-39,10:51:49.195,
,,463,780,336,223,209,0.020508,0.030762,0.996582,0.070000,-3.150000,-1.540000,-0.636122,-0.197830,-1.244942,,175,156,138,122,902,,,,,,,,,-39,10:51:49.223,
,,464,800,333,223,208,0.019531,0.028809,0.996582,-0.070000,-3.010000,-1.470000,-0.632034,-0.194034,-1.254578,,176,154,138,123,902,,,,,,,,,-39,10:51:49.253,
