SensoriaRawDataFormat: 4.0
FirmwareRevision: 1.1.5.231R
DeviceName: Sensoria-C1-8462
SerialNumber: E22EC481EC559DCF
Location: 0x0000
Start: 2024-02-26T15:18:46-08:00
SamplingFrequency: 50
AfeName: N/A
AfeUnits: N/A
(null)
(null)
(null)
(null)
(null)
(null)
(null)
(null)

Tag,AutoTag,Tick,T,S0,S1,S2,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,HRM,S3,S4,S5,S6,S7,CS0,CS1,CS2,CS3,CS4,CS5,CS6,CS7,RSSI,Timestamp,Zero
,,46141,600,328,160,183,-0.998047,0.000977,0.093750,1.443750,-3.762500,-0.148750,-1.854492,-0.177828,-0.892060,,161,142,128,115,913,,,,,,,,,-50,15:18:46.712,
,,46142,620,327,159,183,-0.996094,0.003418,0.096191,1.277500,-3.893750,-0.210000,-1.849236,-0.183668,-0.872350,,161,143,129,115,914,,,,,,,,,-50,15:18:46.713,
,,46143,640,328,160,184,-0.999023,-0.004395,0.093750,1.303750,-3.806250,-0.306250,-1.849236,-0.183814,-0.890892,,162,142,129,116,914,,,,,,,,,-50,15:18:46.741,
,,46144,660,327,161,183,-0.997559,-0.000977,0.096191,1.373750,-3.911250,-0.183750,-1.849236,-0.183814,-0.890892,,161,141,129,116,913,,,,,,,,,-50,15:18:46.801,
,,46145,680,326,160,183,-0.995605,-0.003906,0.093262,1.470000,-3.832500,-0.140000,-1.849090,-0.179288,-0.894250,,159,141,127,115,914,,,,,,,,,-50,15:18:46.802,
,,46146,700,326,159,182,-0.992676,-0.000488,0.092773,1.426250,-3.771250,-0.105000,-1.851280,-0.182062,-0.890746,,161,142,126,117,913,,,,,,,,,-50,15:18:46.803,
,,46147,720,327,161,183,-0.998535,-0.001465,0.094238,1.408750,-3.701250,-0.183750,-1.854930,-0.184544,-0.879942,,162,142,129,116,914,,,,,,,,,-50,15:18:46.831,
,,46148,740,328,160,184,-1.000977,0.002930,0.091309,1.093750,-3.867500,-0.332500,-1.852302,-0.181478,-0.884468,,160,142,129,118,913,,,,,,,,,-50,15:18:46.831,
,,46149,760,327,159,182,-0.996094,-0.004883,0.091309,1.041250,-3.893750,-0.297500,-1.852302,-0.181478,-0.884468,,160,145,129,116,914,,,,,,,,,-50,15:18:46.861,
,,46150,780,327,160,183,-0.995605,0.000488,0.093750,1.111250,-3.902500,-0.210000,-1.850696,-0.184836,-0.899506,,162,144,130,117,913,,,,,,,,,-50,15:18:46.891,
,,46151,800,327,159,184,-1.000977,-0.002441,0.095215,1.365000,-3.823750,-0.052500,-1.850696,-0.184836,-0.899506,,162,143,128,115,914,,,,,,,,,-50,15:18:46.892,
,,46152,820,327,159,183,-0.998047,-0.003418,0.096680,1.417500,-3.745000,-0.148750,-1.853470,-0.180456,-0.883738,,161,141,126,115,912,,,,,,,,,-50,15:18:46.921,
,,46153,840,325,160,182,-0.997070,-0.003418,0.093750,1.470000,-3.745000,-0.131250,-1.851864,-0.183814,-0.885490,,162,141,125,115,914,,,,,,,,,-50,15:18:46.952,
,,46154,860,328,159,183,-0.998047,-0.001953,0.094727,1.478750,-3.736250,-0.192500,-1.854784,-0.183230,-0.888848,,162,143,129,117,913,,,,,,,,,-50,15:18:46.953,
,,46155,880,327,160,181,-0.998047,0.000488,0.094238,1.277500,-3.823750,-0.280000,-1.849820,-0.182208,-0.882570,,162,143,127,116,913,,,,,,,,,-50,15:18:47.011,
,,46156,900,328,158,184,-0.996094,-0.000488,0.090820,1.181250,-3.841250,-0.280000,-1.849820,-0.182208,-0.882570,,162,144,129,118,914,,,,,,,,,-50,15:18:47.012,
,,46157,920,326,160,184,-0.997070,-0.000977,0.089844,1.408750,-3.771250,-0.148750,-1.850696,-0.181770,-0.894396,,161,144,128,115,912,,,,,,,,,-50,15:18:47.013,
,,46158,940,326,159,182,-0.993164,0.001953,0.094238,1.531250,-3.745000,-0.087500,-1.855368,-0.180602,-0.891038,,160,141,127,115,914,,,,,,,,,-50,15:18:47.041,
,,46159,960,327,161,182,-0.998535,0.002441,0.098145,1.522500,-3.753750,-0.253750,-1.855222,-0.179142,-0.881402,,161,142,128,116,913,,,,,,,,,-50,15:18:47.072,
,,46160,980,328,161,183,-0.997559,-0.004395,0.092285,1.566250,-3.683750,-0.122500,-1.853470,-0.177828,-0.887826,,161,143,130,117,914,,,,,,,,,-50,15:18:47.072,
,,46161,1000,326,159,183,-1.000000,-0.001465,0.093262,1.548750,-3.788750,-0.140000,-1.853470,-0.177828,-0.887826,,161,144,128,115,914,,,,,,,,,-50,15:18:47.102,
,,46162,1020,326,161,183,-0.995117,-0.004883,0.093262,1.470000,-3.832500,-0.157500,-1.855076,-0.181770,-0.880234,,160,141,128,116,913,,,,,,,,,-50,15:18:47.132,
