Tick,S0,S1,S2,S3,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz
3310,195,293,122,293,0.667969,1.996094,0.023438,-11.718751,-7.324219,-245.605484,0.234375,-0.1875,-0.25
3311,192,290,122,289,1.847656,1.996094,-0.023438,59.082035,-62.988285,-250.000015,0.234375,-0.1875,-0.25
3312,193,290,122,290,1.996094,1.996094,-0.25,-43.945316,-7.8125,-250.000015,0.195313,-0.210938,-0.25
3313,288,357,119,358,1.996094,1.910156,-0.390625,-119.628914,58.105473,-250.000015,0.164063,-0.257813,-0.25
3314,264,344,120,348,1.996094,0.992188,-0.605469,-68.359383,46.875004,-193.847672,0.140625,-0.289063,-0.257813
3315,295,365,121,375,1.996094,0.445313,-0.914063,-49.804691,13.671876,-104.492195,0.140625,-0.304688,-0.257813
3316,274,350,121,361,1.757813,-0.757813,-0.757813,-32.714848,-39.062504,-14.648438,0.140625,-0.304688,-0.257813
3317,246,333,121,340,1.695313,-1.59375,-0.726563,28.808596,-98.144539,94.72657,0.140625,-0.304688,-0.257813
3318,214,311,122,314,1.984375,-1.242188,-0.714844,75.683601,-119.140633,231.933609,0.164063,-0.273438,-0.273438
3319,198,299,121,298,1.917969,0.253906,-0.53125,96.679695,-62.011723,249.511734,0.210938,-0.226563,-0.257813
3320,193,294,120,291,1.609375,1.066406,-0.550781,118.652351,-32.714848,249.511734,0.265625,-0.171875,-0.273438
3321,191,292,119,288,1.445313,1.601563,-0.574219,167.480484,-39.550785,249.511734,0.265625,-0.171875,-0.273438
3322,189,292,119,286,1.738281,1.996094,-0.582031,232.910172,-65.429695,249.511734,0.34375,-0.132813,-0.242188
3323,190,291,120,287,1.996094,1.996094,-0.332031,234.375015,-30.273439,249.511734,0.429688,-0.109375,-0.203125
3324,207,303,122,299,1.453125,1.996094,-0.46875,198.242203,20.019533,249.511734,0.515625,-0.109375,-0.179688
3325,213,310,119,308,1.203125,1.996094,-0.285156,242.675797,34.667973,249.511734,0.601563,-0.148438,-0.140625
3326,226,321,119,316,0.375,1.996094,-0.222656,210.937515,110.839851,249.511734,0.601563,-0.148438,-0.140625
3327,210,308,122,307,-1.890625,1.996094,-0.449219,157.226578,130.85939,249.511734,0.671875,-0.195313,-0.132813
3328,195,301,121,295,-2,1.996094,0.226563,106.44532,34.667973,249.511734,0.710938,-0.242188,-0.125
3329,192,299,122,291,-2,1.996094,1.121094,-25.390627,-78.613289,97.167976,0.742188,-0.28125,-0.125
3330,219,315,121,308,-1.300781,1.996094,0.570313,-102.050789,-97.656258,-65.917976,0.742188,-0.28125,-0.101563
3331,225,321,119,316,-1.992188,1.421875,-0.75,-232.910172,-59.570316,-250.000015,0.742188,-0.28125,-0.101563
3332,200,316,100,304,0.683594,1.996094,-1.988281,-247.558609,47.851566,-241.699234,0.710938,-0.234375,-0.117188
3333,184,302,97,294,0.574219,-1.261719,1.746094,-226.562515,79.10157,-137.207047,0.679688,-0.21875,-0.171875
3334,170,273,100,274,-0.605469,1.171875,0.261719,-157.714859,39.550785,-105.957039,0.65625,-0.210938,-0.210938
3335,161,248,105,245,0.554688,1.441406,0.089844,-106.44532,5.371094,-50.781254,0.640625,-0.21875,-0.242188
3336,155,230,109,221,0.570313,0.566406,0.289063,-75.683601,10.742188,-49.804691,0.640625,-0.21875,-0.242188
3337,153,218,117,204,0.632813,0.730469,0.015625,-24.414064,21.972658,-46.386723,0.640625,-0.21875,-0.234375
3338,149,214,119,191,0.59375,0.964844,0.0625,15.625001,71.777351,-40.039066,0.625,-0.210938,-0.242188
3339,152,214,120,183,1.367188,1.792969,0.292969,79.589851,54.199223,-124.511726,0.609375,-0.195313,-0.234375
3340,204,257,121,224,1.605469,1.917969,-0.128906,85.937508,2.929688,-226.074234,0.578125,-0.171875,-0.226563
3341,196,255,121,210,1.789063,1.863281,-0.125,81.054695,-30.761721,-250.000015,0.539063,-0.132813,-0.226563
3342,186,252,122,207,1.375,1.933594,0.449219,38.085941,-28.320314,-250.000015,0.539063,-0.132813,-0.226563
3343,219,284,121,259,-0.046875,1.859375,0.480469,31.250002,-45.898441,-250.000015,0.46875,-0.109375,-0.210938
3344,199,280,121,271,-0.046875,1.996094,0.492188,125.000008,-94.238289,-250.000015,0.375,-0.101563,-0.195313
3345,190,284,121,282,0.109375,1.996094,-0.136719,-148.437515,67.38282,-97.167976,0.3125,-0.109375,-0.210938
3346,190,287,123,285,-0.210938,1.996094,-0.367188,-249.023453,142.57814,-2.441406,0.289063,-0.125,-0.210938
3347,190,289,122,286,0.320313,1.996094,-0.285156,-129.882828,54.687504,-171.875015,0.265625,-0.148438,-0.234375
3348,190,289,121,287,1.183594,1.996094,-0.097656,29.296877,-42.968754,-250.000015,0.234375,-0.171875,-0.234375
3349,189,289,121,287,1.996094,1.996094,-0.269531,-6.835938,-37.59766,-250.000015,0.195313,-0.203125,-0.234375
3350,189,290,122,285,1.996094,1.976563,-0.417969,-94.238289,43.945316,-249.511734,0.15625,-0.25,-0.234375
3351,189,290,121,285,1.996094,0.925781,-0.59375,-94.72657,76.171883,-174.804703,0.15625,-0.25,-0.234375
3352,219,309,121,308,1.980469,0.207031,-0.957031,-70.312508,50.292973,-92.773445,0.132813,-0.28125,-0.234375
3353,305,369,120,376,1.582031,-1.074219,-0.886719,-51.757816,-11.23047,-5.371094,0.132813,-0.296875,-0.234375
3354,258,342,122,351,1.527344,-1.820313,-0.75,18.066408,-97.656258,108.398445,0.140625,-0.28125,-0.242188
3355,214,310,121,313,1.929688,-1.394531,-0.664063,67.38282,-136.230484,238.769547,0.179688,-0.242188,-0.265625
3356,197,298,120,298,1.882813,-0.40625,-0.5,77.148445,-111.328133,249.511734,0.179688,-0.242188,-0.265625
3357,229,320,121,322,1.78125,0.703125,-0.441406,102.53907,-79.10157,249.511734,0.226563,-0.195313,-0.257813
3358,203,301,121,300,1.589844,1.371094,-0.433594,137.695328,-62.011723,249.511734,0.304688,-0.148438,-0.242188
3359,194,295,119,293,1.417969,1.808594,-0.492188,226.562515,-82.031258,249.511734,0.398438,-0.117188,-0.226563
3360,191,293,121,290,1.992188,1.996094,-0.316406,247.558609,-57.617191,249.511734,0.484375,-0.101563,-0.1875
3361,189,292,120,288,1.867188,1.996094,-0.378906,227.539078,10.253907,249.511734,0.484375,-0.101563,-0.1875
