SensoriaRawDataFormat: 4.0
FirmwareRevision: 1.1.5.231R
DeviceName: Sensoria-C1-8462
SerialNumber: E22EC481EC559DCF
Location: 0x0000
Start: 2024-02-26T15:05:06-08:00
SamplingFrequency: 50
AfeName: N/A
AfeUnits: N/A
(null)
(null)
(null)
(null)
(null)
(null)
(null)
(null)

Tag,AutoTag,Tick,T,S0,S1,S2,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,HRM,S3,S4,S5,S6,S7,CS0,CS1,CS2,CS3,CS4,CS5,CS6,CS7,RSSI,Timestamp,Zero
,,5524,600,327,160,183,0.004883,-0.005371,1.036133,1.321250,-3.771250,-0.280000,0.042778,-0.185712,-0.435956,,160,141,126,115,916,,,,,,,,,-49,15:05:06.716,
,,5525,620,328,159,185,0.002441,-0.005859,1.031738,1.330000,-3.718750,-0.245000,0.042778,-0.185712,-0.435956,,161,142,129,116,916,,,,,,,,,-49,15:05:06.717,
,,5526,640,328,159,183,0.005371,-0.007812,1.037598,1.216250,-3.806250,-0.262500,0.044676,-0.190530,-0.442380,,159,143,128,115,916,,,,,,,,,-49,15:05:06.745,
,,5527,660,329,161,184,0.005859,-0.002930,1.034180,1.338750,-3.806250,-0.210000,0.044238,-0.195202,-0.439460,,158,142,126,116,916,,,,,,,,,-49,15:05:06.776,
,,5528,680,328,161,182,0.005371,-0.001953,1.035645,1.303750,-3.745000,-0.201250,0.042778,-0.195932,-0.433328,,160,141,127,117,915,,,,,,,,,-49,15:05:06.777,
,,5529,700,328,161,184,0.002930,-0.004883,1.034180,1.207500,-3.771250,-0.218750,0.040442,-0.193450,-0.450848,,160,140,129,116,916,,,,,,,,,-49,15:05:06.805,
,,5530,720,327,161,183,0.004883,-0.005371,1.038574,1.260000,-3.745000,-0.192500,0.040442,-0.194910,-0.438730,,161,142,128,116,916,,,,,,,,,-49,15:05:06.837,
,,5531,740,328,160,183,0.009766,-0.008789,1.032715,1.356250,-3.753750,-0.166250,0.040442,-0.194910,-0.438730,,159,143,126,115,915,,,,,,,,,-49,15:05:06.837,
,,5532,760,329,159,183,0.002930,-0.005859,1.032227,1.277500,-3.841250,-0.140000,0.042194,-0.193450,-0.437562,,160,143,129,116,915,,,,,,,,,-49,15:05:06.866,
,,5533,780,328,161,184,0.005371,-0.007324,1.034180,1.277500,-3.815000,-0.201250,0.043508,-0.196516,-0.446906,,160,141,126,115,916,,,,,,,,,-49,15:05:06.897,
,,5534,800,327,161,183,0.004395,-0.003906,1.033203,1.356250,-3.797500,-0.245000,0.041464,-0.197392,-0.443694,,159,142,127,114,916,,,,,,,,,-49,15:05:06.927,
,,5535,820,326,159,186,0.003906,-0.001953,1.036621,1.382500,-3.753750,-0.210000,0.042778,-0.198414,-0.434204,,160,141,129,116,914,,,,,,,,,-49,15:05:06.927,
,,5536,840,328,161,186,0.005859,-0.005371,1.035645,1.338750,-3.692500,-0.183750,0.042778,-0.198414,-0.434204,,161,146,127,116,917,,,,,,,,,-49,15:05:06.956,
,,5537,860,329,160,183,0.005859,-0.007324,1.038086,1.251250,-3.753750,-0.140000,0.039420,-0.197538,-0.442234,,160,143,126,114,915,,,,,,,,,-49,15:05:06.957,
,,5538,880,329,160,183,0.007812,-0.007324,1.037109,1.321250,-3.788750,-0.087500,0.042194,-0.195202,-0.440190,,159,141,126,114,916,,,,,,,,,-49,15:05:06.986,
,,5539,900,328,159,182,0.003418,-0.009277,1.038574,1.330000,-3.797500,-0.201250,0.043946,-0.197830,-0.449826,,160,139,128,116,916,,,,,,,,,-49,15:05:07.017,
,,5540,920,327,159,184,0.005859,-0.004883,1.035156,1.268750,-3.710000,-0.210000,0.037814,-0.195056,-0.441358,,160,142,127,115,916,,,,,,,,,-49,15:05:07.017,
,,5541,940,327,159,183,0.005859,-0.006348,1.036621,1.312500,-3.806250,-0.192500,0.037814,-0.195056,-0.441358,,160,142,128,115,914,,,,,,,,,-49,15:05:07.046,
,,5542,960,329,160,183,0.004883,-0.002930,1.035156,1.330000,-3.788750,-0.192500,0.038690,-0.194618,-0.437854,,161,144,128,115,915,,,,,,,,,-49,15:05:07.076,
,,5543,980,328,160,182,0.007812,-0.003906,1.035156,1.356250,-3.762500,-0.183750,0.040004,-0.196954,-0.436832,,161,139,128,115,916,,,,,,,,,-49,15:05:07.078,
,,5544,1000,330,161,183,0.005859,-0.003906,1.034668,1.365000,-3.771250,-0.192500,0.040296,-0.201918,-0.452016,,159,142,128,116,916,,,,,,,,,-49,15:05:07.137,
,,5545,1020,326,159,184,0.010254,-0.008789,1.035156,1.330000,-3.762500,-0.122500,0.036208,-0.202210,-0.440190,,160,142,129,116,916,,,,,,,,,-49,15:05:07.138,
,,5546,1040,327,160,185,0.002930,-0.003906,1.037598,1.286250,-3.771250,-0.175000,0.036208,-0.202210,-0.440190,,161,142,129,116,915,,,,,,,,,-49,15:05:07.139,
,,5547,1060,328,160,183,0.008789,-0.006348,1.032715,1.408750,-3.718750,-0.218750,0.041464,-0.196954,-0.443256,,160,144,127,115,915,,,,,,,,,-49,15:05:07.166,
,,5548,1080,456,206,214,0.009277,-0.010742,1.034668,1.330000,-3.745000,-0.210000,0.047012,-0.200166,-0.448366,,181,156,137,122,918,,,,,,,,,-49,15:05:07.197,
,,5549,1100,332,160,190,0.004395,-0.004395,1.033203,1.347500,-3.841250,-0.218750,0.040150,-0.199874,-0.437270,,169,151,133,120,916,,,,,,,,,-49,15:05:07.198,
,,5550,1120,331,161,185,0.005371,-0.005371,1.037109,1.347500,-3.675000,-0.131250,0.040150,-0.199874,-0.437270,,162,144,130,117,916,,,,,,,,,-49,15:05:07.226,
