SensoriaRawDataFormat: 4.0
FirmwareRevision: 1.1.5.231R
DeviceName: Sensoria-C1-8462
SerialNumber: E22EC481EC559DCF
Location: 0x0000
Start: 2024-02-26T15:20:13-08:00
SamplingFrequency: 50
AfeName: N/A
AfeUnits: N/A
(null)
(null)
(null)
(null)
(null)
(null)
(null)
(null)

Tag,AutoTag,Tick,T,S0,S1,S2,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,HRM,S3,S4,S5,S6,S7,CS0,CS1,CS2,CS3,CS4,CS5,CS6,CS7,RSSI,Timestamp,Zero
,,50424,0,325,163,185,-0.995117,0.010254,0.092285,1.181250,-4.051250,-0.630000,4.768944,4.781792,-1.182308,,162,143,126,117,912,,,,,,,,,-60,15:20:13.331,
,,50425,20,327,163,183,-0.986328,0.007812,0.091797,1.207500,-3.622500,-0.280000,4.768944,4.781792,-1.188878,,161,143,122,114,913,,,,,,,,,-60,15:20:13.362,
,,50426,40,326,163,182,-0.997070,0.006836,0.092285,1.251250,-3.430000,-0.061250,4.768944,4.781792,-1.188878,,160,141,127,114,913,,,,,,,,,-60,15:20:13.363,
,,50427,60,327,164,185,-1.000977,0.011719,0.093750,1.417500,-3.832500,0.078750,4.768944,4.781792,-1.186688,,161,143,132,117,914,,,,,,,,,-60,15:20:13.394,
,,50428,80,326,161,184,-0.997070,0.010254,0.087402,1.260000,-3.920000,-0.061250,4.768944,4.781792,-1.188148,,163,144,131,119,913,,,,,,,,,-60,15:20:13.423,
,,50429,100,326,162,184,-0.993164,0.010742,0.095215,1.155000,-4.077500,-0.420000,4.768944,4.781792,-1.180118,,162,144,126,118,913,,,,,,,,,-60,15:20:13.424,
,,50430,120,327,162,182,-0.992188,0.012207,0.093750,1.216250,-3.771250,-0.420000,4.768944,4.781792,-1.187564,,161,141,123,115,913,,,,,,,,,-60,15:20:13.452,
,,50431,140,328,164,184,-0.998047,0.008789,0.092773,1.382500,-3.928750,-0.052500,4.768944,4.781792,-1.187564,,162,143,126,116,911,,,,,,,,,-60,15:20:13.481,
,,50432,160,326,163,184,-0.997559,0.013184,0.098633,1.417500,-3.928750,-0.008750,4.768944,4.781792,-1.195740,,161,141,131,118,914,,,,,,,,,-60,15:20:13.512,
,,50433,180,327,160,185,-0.997559,0.010254,0.095703,1.356250,-4.060000,-0.192500,4.768944,4.781792,-1.192674,,161,145,134,119,914,,,,,,,,,-60,15:20:13.514,
,,50434,200,326,161,184,-0.990723,0.009277,0.095703,1.207500,-3.613750,-0.192500,4.768944,4.781792,-1.191214,,162,143,126,116,913,,,,,,,,,-60,15:20:13.543,
,,50435,220,326,163,182,-0.996094,0.012207,0.093750,1.286250,-3.465000,-0.122500,4.768944,4.781792,-1.187418,,162,141,123,116,914,,,,,,,,,-60,15:20:13.544,
,,50436,240,327,162,182,-0.995117,0.012207,0.095703,1.330000,-3.745000,-0.105000,4.768944,4.781792,-1.200120,,161,141,126,116,913,,,,,,,,,-60,15:20:13.572,
,,50437,260,328,162,185,-0.993652,0.011230,0.091797,1.338750,-3.911250,-0.140000,4.768944,4.781792,-1.200120,,161,144,130,118,914,,,,,,,,,-60,15:20:13.603,
,,50438,280,326,162,186,-0.997070,0.008789,0.093262,1.303750,-3.998750,-0.166250,4.768944,4.781792,-1.189900,,161,143,132,119,913,,,,,,,,,-60,15:20:13.604,
,,50439,300,327,162,185,-0.997559,0.009277,0.091797,1.251250,-4.042500,-0.043750,4.768944,4.781792,-1.190484,,162,141,128,115,914,,,,,,,,,-60,15:20:13.635,
,,50440,320,326,162,183,-0.996582,0.007324,0.100586,1.417500,-4.016250,-0.052500,4.768944,4.781792,-1.196178,,161,143,124,115,913,,,,,,,,,-60,15:20:13.664,
,,50441,340,327,163,182,-0.998047,0.012207,0.099121,1.373750,-3.473750,0.323750,4.768944,4.781792,-1.183184,,162,141,124,115,913,,,,,,,,,-60,15:20:13.665,
,,50442,360,326,162,184,-0.993652,0.012207,0.096191,1.382500,-3.185000,0.463750,4.768944,4.781792,-1.183184,,162,142,130,115,914,,,,,,,,,-60,15:20:13.694,
,,50443,380,328,163,185,-0.994629,0.011230,0.094238,1.286250,-2.966250,0.280000,4.768944,4.781792,-1.194280,,163,143,132,117,913,,,,,,,,,-60,15:20:13.724,
,,50444,400,327,161,184,-1.004883,0.019043,0.087891,2.380000,-2.520000,0.008750,4.768944,4.781792,-1.177198,,163,144,128,117,916,,,,,,,,,-60,15:20:13.725,
,,50445,420,327,161,184,-0.997559,0.011719,0.087402,1.137500,-4.121250,-0.262500,4.768944,4.781792,-1.170920,,162,143,125,114,916,,,,,,,,,-60,15:20:13.754,
,,50446,440,328,162,181,-0.997559,0.009766,0.092285,1.190000,-4.086250,-0.236250,4.768944,4.781792,-1.173256,,161,142,124,116,913,,,,,,,,,-60,15:20:13.813,
,,50447,460,327,161,185,-0.994141,0.010742,0.090332,1.216250,-3.858750,-0.157500,4.768944,4.781792,-1.173256,,163,141,130,117,913,,,,,,,,,-60,15:20:13.814,
,,50448,480,328,162,186,-0.988281,0.009277,0.098633,0.332500,-5.285000,-0.708750,4.768944,4.781792,-1.191068,,162,143,132,117,914,,,,,,,,,-60,15:20:13.815,
,,50449,500,325,162,185,-0.996582,0.016602,0.098633,1.146250,-3.981250,-0.455000,4.768944,4.781792,-1.195010,,161,145,130,117,914,,,,,,,,,-60,15:20:13.842,
,,50450,520,327,162,184,-1.000488,0.012695,0.094727,1.093750,-3.473750,-0.586250,4.768944,4.781792,-1.187272,,162,143,125,116,913,,,,,,,,,-60,15:20:13.842,
,,50451,540,326,161,183,-0.996094,0.012695,0.093750,1.216250,-3.596250,-0.271250,4.768944,4.781792,-1.190338,,160,141,124,114,912,,,,,,,,,-60,15:20:13.905,
,,50452,560,327,162,183,-0.994141,0.008301,0.092773,1.321250,-4.095000,-0.052500,4.768944,4.781792,-1.190338,,163,141,130,115,914,,,,,,,,,-60,15:20:13.907,
,,50453,580,325,162,183,-0.991699,0.007812,0.096680,1.417500,-4.445000,-0.218750,4.768944,4.781792,-1.197346,,162,144,131,117,913,,,,,,,,,-60,15:20:13.907,
,,50454,600,327,161,186,-0.994629,0.009766,0.095215,1.277500,-3.867500,-0.288750,4.768944,4.781792,-1.190192,,162,143,129,117,914,,,,,,,,,-60,15:20:13.963,
,,50455,620,327,161,183,-0.996094,0.008789,0.092285,1.181250,-3.727500,-0.350000,4.768944,4.781792,-1.185082,,162,142,124,116,912,,,,,,,,,-60,15:20:13.964,
,,50456,640,327,163,182,-0.998535,0.009766,0.098145,1.242500,-3.963750,-0.490000,4.768944,4.781792,-1.190484,,161,141,124,114,914,,,,,,,,,-60,15:20:13.965,
,,50457,660,328,162,182,-0.991211,0.007812,0.097656,1.303750,-3.648750,0.035000,4.768944,4.781792,-1.190484,,163,141,130,115,913,,,,,,,,,-60,15:20:13.992,
,,50458,680,327,162,183,-0.991211,0.009766,0.097168,1.365000,-3.552500,0.078750,4.768944,4.781792,-1.198952,,163,143,133,118,914,,,,,,,,,-60,15:20:14.022,
,,50459,700,325,162,186,-0.996094,0.008789,0.091797,1.207500,-3.683750,-0.245000,4.768944,4.781792,-1.198222,,162,144,130,117,914,,,,,,,,,-60,15:20:14.024,
,,50460,720,327,162,183,-0.998535,0.011230,0.094727,1.225000,-3.893750,-0.236250,4.768944,4.781792,-1.188732,,161,144,126,115,913,,,,,,,,,-60,15:20:14.054,
,,50461,740,327,162,182,-0.996582,0.009766,0.091309,1.277500,-3.911250,-0.245000,4.768944,4.781792,-1.188732,,161,142,124,114,913,,,,,,,,,-60,15:20:14.082,
,,50462,760,325,162,183,-0.996094,0.008301,0.093262,1.312500,-3.596250,-0.078750,4.768944,4.781792,-1.192382,,162,143,129,116,915,,,,,,,,,-60,15:20:14.084,
,,50463,780,326,162,185,-0.995605,0.012207,0.091797,1.312500,-3.526250,0.026250,4.768944,4.781792,-1.192382,,162,144,131,118,915,,,,,,,,,-60,15:20:14.114,
,,50464,800,327,161,185,-0.998047,0.011719,0.090820,1.303750,-3.815000,-0.043750,4.768944,4.781792,-1.177490,,162,143,131,118,914,,,,,,,,,-60,15:20:14.144,
,,50465,820,326,161,182,-0.995117,0.010742,0.096680,1.251250,-3.902500,-0.288750,4.768944,4.781792,-1.195156,,161,145,125,115,915,,,,,,,,,-60,15:20:14.144,
,,50466,840,324,161,184,-0.998047,0.005859,0.094238,1.216250,-3.552500,-0.411250,4.768944,4.781792,-1.183622,,161,141,123,116,914,,,,,,,,,-60,15:20:14.174,
,,50467,860,326,161,183,-0.998535,0.008301,0.092285,1.338750,-3.806250,-0.008750,4.768944,4.781792,-1.183914,,160,142,129,116,914,,,,,,,,,-60,15:20:14.202,
,,50468,880,326,161,182,-0.995117,0.005859,0.092285,1.312500,-3.823750,-0.166250,4.768944,4.781792,-1.189754,,161,143,124,114,913,,,,,,,,,-60,15:20:14.234,
,,50469,900,328,163,182,-0.994141,0.009766,0.095703,1.365000,-3.972500,-0.087500,4.768944,4.781792,-1.181724,,161,141,123,116,914,,,,,,,,,-60,15:20:14.264,
