Tag,AutoTag,Tick,T,S0,S1,S2,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,HRM,S3,S4,S5,S6,S7,CS0,CS1,CS2,CS3,CS4,CS5,CS6,CS7,RSSI,Timestamp,Zero
,,970,660,326,159,181,0.007324,-0.006836,1.034180,1.356250,-3.780000,-0.087500,0.051246,-0.173156,-0.456542,,157,141,124,114,917,,,,,,,,,-51,15:03:34.609,
,,971,680,326,161,180,0.006348,-0.008789,1.029297,1.347500,-3.797500,-0.131250,0.050954,-0.175200,-0.454206,,157,139,126,115,917,,,,,,,,,-51,15:03:34.611,
,,972,700,329,159,181,0.004395,-0.006836,1.036133,1.303750,-3.701250,-0.175000,0.052998,-0.178704,-0.453622,,160,142,128,115,916,,,,,,,,,-51,15:03:34.642,
,,973,720,325,161,182,0.004883,-0.006348,1.036621,1.286250,-3.692500,-0.210000,0.052998,-0.178704,-0.453622,,160,139,125,115,915,,,,,,,,,-51,15:03:34.671,
,,974,740,326,160,183,0.006348,-0.004883,1.037109,1.312500,-3.806250,-0.175000,0.052414,-0.173886,-0.450848,,159,140,127,114,917,,,,,,,,,-51,15:03:34.672,
,,975,760,328,159,181,0.005371,-0.004395,1.034668,1.268750,-3.797500,-0.210000,0.048472,-0.174616,-0.451140,,157,142,125,114,915,,,,,,,,,-51,15:03:34.700,
,,976,780,328,161,181,0.007324,-0.001465,1.031738,1.321250,-3.736250,-0.157500,0.055334,-0.178120,-0.441066,,157,141,126,114,916,,,,,,,,,-51,15:03:34.729,
,,977,800,328,159,182,0.008301,-0.006348,1.038086,1.338750,-3.745000,-0.166250,0.054604,-0.176222,-0.440628,,159,140,127,116,916,,,,,,,,,-51,15:03:34.760,
,,978,820,326,160,182,0.004395,-0.002441,1.034668,1.303750,-3.753750,-0.175000,0.054604,-0.176222,-0.440628,,159,140,127,115,915,,,,,,,,,-51,15:03:34.762,
,,979,840,326,160,183,0.003906,-0.004395,1.034180,1.356250,-3.718750,-0.183750,0.052998,-0.177682,-0.460192,,158,141,129,114,917,,,,,,,,,-51,15:03:34.792,
,,980,860,326,159,181,0.011719,-0.008789,1.032227,1.417500,-3.762500,-0.183750,0.055772,-0.173886,-0.437270,,158,141,125,114,916,,,,,,,,,-51,15:03:34.793,
,,981,880,328,159,181,0.006836,-0.005371,1.033691,1.356250,-3.806250,-0.105000,0.048472,-0.174470,-0.455520,,159,141,124,116,916,,,,,,,,,-51,15:03:34.820,
,,982,900,327,159,181,0.001953,-0.004395,1.037109,1.295000,-3.780000,-0.148750,0.056794,-0.173886,-0.450702,,158,139,125,114,917,,,,,,,,,-51,15:03:34.849,
,,983,920,326,160,183,0.002930,-0.004395,1.038086,1.321250,-3.858750,-0.192500,0.049786,-0.173010,-0.448512,,159,140,129,114,916,,,,,,,,,-51,15:03:34.858,
,,984,940,328,161,183,0.005371,-0.008301,1.033203,1.373750,-3.753750,-0.183750,0.049786,-0.173010,-0.448512,,159,141,128,113,916,,,,,,,,,-51,15:03:34.880,
,,985,960,326,161,182,0.008789,-0.006348,1.031250,1.303750,-3.710000,-0.218750,0.051684,-0.175054,-0.452454,,157,139,125,113,916,,,,,,,,,-51,15:03:34.911,
,,986,980,327,159,181,0.004883,-0.005371,1.034668,1.260000,-3.692500,-0.148750,0.056064,-0.175492,-0.449242,,159,141,125,114,917,,,,,,,,,-51,15:03:34.911,
,,987,1000,328,159,181,0.005371,-0.008301,1.040527,1.330000,-3.788750,-0.236250,0.054166,-0.175492,-0.445446,,158,139,126,116,916,,,,,,,,,-51,15:03:35.000,
,,988,1020,327,162,182,0.011230,-0.007812,1.035156,1.303750,-3.780000,-0.166250,0.055480,-0.178704,-0.447636,,158,140,126,115,916,,,,,,,,,-51,15:03:35.001,
,,989,1040,328,161,182,0.009277,-0.005371,1.033203,1.400000,-3.736250,-0.096250,0.055480,-0.178704,-0.447636,,157,143,127,115,915,,,,,,,,,-51,15:03:35.002,
,,990,1060,326,159,180,0.003906,-0.008301,1.038086,1.190000,-3.797500,-0.183750,0.047888,-0.175492,-0.451286,,159,140,126,114,916,,,,,,,,,-51,15:03:35.021,
,,991,1080,328,161,181,0.002930,-0.004395,1.035645,1.312500,-3.806250,-0.201250,0.051246,-0.178266,-0.462820,,158,140,125,115,917,,,,,,,,,-51,15:03:35.031,
,,992,1100,327,161,180,0.002930,-0.004395,1.029785,1.303750,-3.701250,-0.175000,0.057086,-0.176806,-0.454790,,158,141,126,116,916,,,,,,,,,-51,15:03:35.031,
,,993,1120,328,159,183,0.004883,-0.004395,1.033691,1.260000,-3.780000,-0.166250,0.052706,-0.181478,-0.449826,,158,140,128,115,916,,,,,,,,,-51,15:03:35.060,
,,994,1140,325,158,182,0.003418,-0.003906,1.033691,1.216250,-3.771250,-0.201250,0.052706,-0.181478,-0.449826,,158,141,127,114,917,,,,,,,,,-51,15:03:35.089,
,,995,1160,326,160,182,0.006348,-0.003418,1.036133,1.338750,-3.823750,-0.201250,0.057816,-0.177974,-0.457564,,158,142,126,114,916,,,,,,,,,-51,15:03:35.091,
,,996,1180,328,159,182,0.007324,-0.002441,1.034668,1.373750,-3.797500,-0.183750,0.054458,-0.180018,-0.445592,,158,141,125,114,917,,,,,,,,,-51,15:03:35.120,
,,997,1200,327,160,181,0.006836,-0.008789,1.037598,1.286250,-3.771250,-0.201250,0.062196,-0.173594,-0.445300,,157,138,125,114,917,,,,,,,,,-51,15:03:35.149,
,,998,1220,328,160,183,0.010742,-0.010742,1.032227,1.268750,-3.736250,-0.210000,0.056064,-0.175054,-0.461360,,160,141,127,114,916,,,,,,,,,-51,15:03:35.158,
,,999,1240,337,164,198,0.005371,-0.004395,1.032227,1.408750,-3.745000,-0.192500,0.053290,-0.179434,-0.447490,,171,150,136,121,918,,,,,,,,,-51,15:03:35.210,
,,1000,1260,328,161,187,0.004883,-0.005859,1.036133,1.365000,-3.780000,-0.218750,0.050808,-0.178120,-0.451870,,162,146,133,118,915,,,,,,,,,-51,15:03:35.212,
,,1001,1280,327,159,184,0.003906,-0.002930,1.039551,1.338750,-3.797500,-0.131250,0.054020,-0.177098,-0.458294,,161,143,128,116,917,,,,,,,,,-51,15:03:35.243,
,,1002,1300,327,160,182,0.007324,-0.003906,1.035645,1.400000,-3.771250,-0.175000,0.054020,-0.177098,-0.458294,,157,142,125,116,917,,,,,,,,,-51,15:03:35.271,
,,1003,1320,327,161,182,0.008301,-0.003418,1.032715,1.443750,-3.727500,-0.140000,0.053436,-0.177098,-0.454352,,160,141,126,117,916,,,,,,,,,-51,15:03:35.272,
,,1004,1340,325,158,182,0.006836,-0.002441,1.036133,1.347500,-3.841250,-0.148750,0.049202,-0.178266,-0.449242,,157,141,125,115,916,,,,,,,,,-51,15:03:35.302,
,,1005,1360,326,158,184,0.004395,-0.010742,1.043945,1.260000,-3.885000,-0.245000,0.047888,-0.173156,-0.456834,,159,141,127,113,918,,,,,,,,,-51,15:03:35.332,
,,1006,1380,326,160,182,0.009766,-0.011719,1.040039,1.347500,-3.771250,-0.175000,0.053290,-0.177974,-0.457418,,160,140,125,113,917,,,,,,,,,-51,15:03:35.362,
,,1007,1400,328,158,180,0.010742,-0.007324,1.031250,1.373750,-3.727500,-0.227500,0.053290,-0.177974,-0.457418,,158,140,125,114,916,,,,,,,,,-51,15:03:35.391,
,,1008,1420,327,159,181,0.005859,-0.010742,1.029785,1.443750,-3.736250,-0.157500,0.055626,-0.170236,-0.453914,,159,139,126,114,916,,,,,,,,,-51,15:03:35.392,
,,1009,1440,328,159,182,0.006836,-0.005371,1.040527,1.286250,-3.771250,-0.113750,0.047304,-0.171550,-0.449388,,158,141,129,115,917,,,,,,,,,-51,15:03:35.392,
,,1010,1460,327,158,184,0.005859,-0.005859,1.040527,1.391250,-3.797500,-0.183750,0.054458,-0.169214,-0.447636,,159,140,126,114,916,,,,,,,,,-51,15:03:35.420,
,,1011,1480,326,158,181,0.005859,-0.003906,1.036133,1.417500,-3.806250,-0.201250,0.054458,-0.172572,-0.449826,,160,140,125,114,915,,,,,,,,,-51,15:03:35.449,
,,1012,1500,326,160,182,0.004395,-0.005859,1.031738,1.373750,-3.797500,-0.122500,0.052852,-0.174616,-0.456542,,158,141,127,115,917,,,,,,,,,-51,15:03:35.460,
,,1013,1520,326,160,181,0.001953,-0.005371,1.029785,1.365000,-3.815000,-0.227500,0.053436,-0.175638,-0.446030,,158,142,125,113,917,,,,,,,,,-51,15:03:35.480,
,,1014,1540,328,160,180,0.005371,-0.008789,1.038574,1.426250,-3.876250,-0.218750,0.049932,-0.177682,-0.443110,,160,140,125,114,917,,,,,,,,,-51,15:03:35.510,
,,1015,1560,327,160,181,0.008789,-0.007812,1.039062,1.216250,-3.815000,-0.227500,0.049932,-0.177682,-0.443110,,158,139,125,115,916,,,,,,,,,-51,15:03:35.512,
,,1016,1580,327,158,181,0.005859,-0.012207,1.041992,1.242500,-3.788750,-0.148750,0.051100,-0.173594,-0.439314,,159,141,128,114,916,,,,,,,,,-51,15:03:35.542,
,,1017,1600,326,160,183,0.005371,-0.012695,1.030762,1.426250,-3.736250,-0.175000,0.056502,-0.171112,-0.451286,,159,141,128,116,918,,,,,,,,,-51,15:03:35.572,
,,1018,1620,326,158,182,0.006836,-0.010742,1.022949,1.487500,-3.718750,-0.105000,0.050370,-0.170674,-0.447782,,157,141,126,114,917,,,,,,,,,-51,15:03:35.573,
,,1019,1640,326,159,181,0.007812,-0.006348,1.036133,1.312500,-3.753750,-0.157500,0.054020,-0.172426,-0.442088,,159,140,125,114,916,,,,,,,,,-51,15:03:35.602,
,,1020,1660,327,158,179,0.005859,-0.003418,1.043945,1.321250,-3.736250,-0.183750,0.054020,-0.172426,-0.442088,,157,139,124,114,916,,,,,,,,,-51,15:03:35.632,
,,1021,1680,326,160,182,0.003418,-0.000488,1.033691,1.391250,-3.762500,-0.105000,0.052998,-0.177536,-0.463112,,160,142,127,115,916,,,,,,,,,-51,15:03:35.633,
,,1022,1700,326,157,182,0.002930,-0.004883,1.028320,1.391250,-3.780000,-0.157500,0.055918,-0.174178,-0.447490,,159,141,126,115,916,,,,,,,,,-51,15:03:35.662,
,,1023,1720,325,160,183,0.005371,-0.006348,1.031250,1.277500,-3.745000,-0.175000,0.050662,-0.171696,-0.444424,,159,141,128,113,917,,,,,,,,,-51,15:03:35.692,
,,1024,1740,326,159,182,0.005859,-0.011230,1.039551,1.312500,-3.850000,-0.183750,0.053874,-0.173302,-0.448512,,158,141,126,115,916,,,,,,,,,-51,15:03:35.693,
,,1025,1760,327,161,181,0.008301,-0.010254,1.039062,1.312500,-3.736250,-0.131250,0.053874,-0.173302,-0.448512,,157,140,125,116,917,,,,,,,,,-51,15:03:35.722,
,,1026,1780,327,162,181,0.009277,-0.007324,1.034180,1.330000,-3.745000,-0.122500,0.049786,-0.170528,-0.444278,,157,139,126,115,916,,,,,,,,,-51,15:03:35.750,
,,1027,1800,325,157,182,0.010742,-0.006348,1.034180,1.373750,-3.780000,-0.236250,0.056064,-0.171258,-0.440628,,158,141,128,116,917,,,,,,,,,-51,15:03:35.759,
,,1028,1820,325,160,183,0.010254,-0.002930,1.036621,1.312500,-3.841250,-0.218750,0.052852,-0.172280,-0.446760,,160,141,126,114,917,,,,,,,,,-51,15:03:35.782,
,,1029,1840,327,160,181,0.004395,-0.003906,1.035156,1.303750,-3.753750,-0.210000,0.051100,-0.174032,-0.449242,,158,140,124,114,917,,,,,,,,,-51,15:03:35.810,
,,1030,1860,327,160,181,0.001465,-0.004883,1.029785,1.382500,-3.762500,-0.201250,0.051100,-0.174032,-0.449242,,158,140,123,116,917,,,,,,,,,-51,15:03:35.812,
,,1031,1880,327,161,181,0.001953,-0.003906,1.036133,1.303750,-3.771250,-0.218750,0.057378,-0.174470,-0.437416,,159,140,127,115,916,,,,,,,,,-51,15:03:35.843,
,,1032,1900,325,157,182,0.002930,-0.005371,1.033691,1.330000,-3.797500,-0.201250,0.051246,-0.174762,-0.446906,,158,140,128,114,917,,,,,,,,,-51,15:03:35.872,
,,1033,1920,326,160,184,0.001953,-0.006348,1.034668,1.321250,-3.858750,-0.227500,0.051976,-0.177536,-0.443110,,159,142,126,114,916,,,,,,,,,-51,15:03:35.902,
